TIME,AX_NEW,AY_NEW,AngACC_NEW,AX,AY,AngACC,X,Y,R,PSI
0.0,-0.0099182093770925,0.0235348334601765,0.0029742315182543,0.0,1.30673615416864e-17,-1.53776449275335e-16,77.0,-148.0,0.0,1.5707963267949
5.74540024354647e-30,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-9.492678304049531e-31,1.30673615416862e-17,-1.53776449275337e-16,77.0,-148.0,-8.83507249128921e-46,1.5707963267949
4.366512965549051e-15,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-7.21445001832905e-16,-1.73886570323024e-16,-2.13137413200515e-15,77.0,-148.0,-4.98906982069674e-30,1.5707963267949
8.7330259310981e-15,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-1.4428900036638302e-15,-3.60840502187219e-16,-4.10897181472952e-15,77.0,-148.0,-1.8613345563657e-29,1.5707963267949
3.0565590758843304e-14,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-5.05011501278877e-15,-1.2956101615005002e-15,-1.399696022827e-14,77.0,-148.0,-2.16262813111447e-28,1.5707963267949
5.23981555865885e-14,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-8.65734002186422e-15,-2.23037982080097e-15,-2.38849486416749e-14,77.0,-148.0,-6.2979242871186495e-28,1.5707963267949
1.61560979725315e-13,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-2.66934650664992e-14,-6.904228117110951e-15,-7.33248907066645e-14,77.0,-148.0,-5.93564272738289e-27,1.5707963267949
2.70723803864041e-13,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-4.47295901098971e-14,-1.15780764131004e-14,-1.22764832768263e-13,77.0,-148.0,-1.6638496726874599e-26,1.5707963267949
8.16537924557671e-13,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-1.34910215308331e-13,-3.49473178882388e-14,-3.69964543025391e-13,77.0,-148.0,-1.51107822221582e-25,1.5707963267949
1.3623520452512998e-12,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-2.25090840475837e-13,-5.83165593553628e-14,-6.17164253197742e-13,77.0,-148.0,-4.2050224017493e-25,1.5707963267949
4.09142264871946e-12,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-6.75993965849465e-13,-1.75162766570767e-13,-1.85316280278785e-12,77.0,-148.0,-3.79135071493866e-24,1.5707963267949
6.82049325218761e-12,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-1.12689709044992e-12,-2.92008973585813e-13,-3.0891613502585797e-12,77.0,-148.0,-1.05353264934337e-23,1.5707963267949
2.04658462695284e-11,-0.0099182093770925,0.0235348334601765,0.0029742315182543,-3.38141270185455e-12,-8.76240005655656e-13,-9.26915405582125e-12,77.0,-148.0,-9.485211470655431e-23,1.5707963267949
